code,target,interest,maturity,payment,status,id,income,age,scaleofcompany,education,marriage,workingtime,estate,houseloan,car,carloan,creditscore,application,pastsuccess,pastdefault,creditcertificate,creditreport,identitycertificate,jobcertificate,incomecertificate,estatecertificate,carcertificate,marriagecertificate,educertificate,techcertificate,mobilecertificate,weibocertificate
2299,50000 ,0.15 ,24,2420 ,1,682571,5000-10000,23,10-100,undergraduate,single,1-3 years,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2300,3000 ,0.15 ,12,271 ,1,419999,5000-10000,27,10-100,junior college,single,1-3 years,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2301,46700 ,0.13 ,36,1578 ,0,754342,5000-10000,31,less10,undergraduate,single,below 1 year,1,1,0,0,145,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0
2302,46700 ,0.13 ,36,1578 ,0,754343,2000-5000,36,10-100,undergraduate,married,below 1 year,1,0,0,0,145,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0
2303,48000 ,0.13 ,36,1622 ,0,754344,2000-5000,44,less10,junior college,married,below 1 year,1,0,1,0,145,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0
2304,46700 ,0.13 ,36,1578 ,0,754345,2000-5000,30,less10,junior college,married,below 1 year,1,0,0,0,145,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0
2305,25400 ,0.12 ,18,1549 ,0,754346,2000-5000,47,less10,highschool,married,below 1 year,1,0,1,1,145,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0
2306,124500 ,0.13 ,36,4208 ,0,754347,above 50000,50,10-100,junior college,divorced,below 1 year,1,1,1,0,145,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0
2307,93400 ,0.13 ,36,3157 ,0,754348,10000-20000,51,10-100,junior college,married,below 1 year,1,1,1,1,145,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0
2308,30400 ,0.13 ,24,1441 ,0,754349,2000-5000,24,less10,highschool,single,below 1 year,0,0,0,0,145,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0
2309,27600 ,0.13 ,24,1308 ,0,249385,5000-10000,42,less10,undergraduate,married,below 1 year,1,0,1,1,145,2,2,0,0,1,1,1,1,0,0,0,0,0,0,0
2310,3000 ,0.10 ,3,1017 ,1,754307,2000-5000,27,above500,junior college,married,1-3 years,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2311,5000 ,0.24 ,12,473 ,1,722162,5000-10000,40,10-100,undergraduate,married,3-5 years,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2312,10000 ,0.24 ,12,946 ,1,11299,5000-10000,31,--,junior college,married,1-3 years,1,1,0,0,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2313,10000 ,0.15 ,12,902 ,1,709452,2000-5000,32,10-100,junior college,married,above 5 years,0,0,0,0,20,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2314,50000 ,0.20 ,12,4630 ,1,753856,2000-5000,27,10-100,junior college,single,--,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2315,50000 ,0.15 ,12,4510 ,1,754316,5000-10000,28,--,highschool,married,--,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
